Date,Open,High,Low,Close,Volume
2016-09-26,22.530000686645508,22.530000686645508,22.530000686645508,22.530000686645508,0
2016-09-27,22.530000686645508,22.530000686645508,22.530000686645508,22.530000686645508,0
2016-09-28,22.530000686645508,22.530000686645508,22.530000686645508,22.530000686645508,0
2016-09-29,22.530000686645508,22.530000686645508,22.530000686645508,22.530000686645508,0
2016-09-30,22.770000457763672,22.770000457763672,22.770000457763672,22.770000457763672,100
2016-10-03,21.90999984741211,21.90999984741211,21.90999984741211,21.90999984741211,2880
2016-10-04,22.75,22.75,22.75,22.75,400
2016-10-05,22.0,22.0,22.0,22.0,600
2016-10-06,22.239999771118164,22.239999771118164,22.239999771118164,22.239999771118164,482
2016-10-07,22.5,22.5,22.5,22.5,6000
2016-10-11,22.299999237060547,22.5,22.299999237060547,22.299999237060547,10440
2016-10-12,22.0,22.0,21.3799991607666,22.0,15600
2016-10-13,21.5,21.5,21.5,21.5,1000
2016-10-14,21.5,21.5,21.5,21.5,0
2016-10-17,21.5,21.5,21.5,21.5,0
2016-10-18,21.5,21.5,21.5,21.5,0
2016-10-19,21.5,21.5,21.5,21.5,0
2016-10-20,22.059999465942383,22.059999465942383,22.059999465942383,22.059999465942383,700
2016-10-21,22.059999465942383,22.059999465942383,22.059999465942383,22.059999465942383,2000
2016-10-24,22.059999465942383,22.059999465942383,22.059999465942383,22.059999465942383,0
2016-10-25,20.969999313354492,20.969999313354492,20.969999313354492,20.969999313354492,300
2016-10-26,20.969999313354492,20.969999313354492,20.969999313354492,20.969999313354492,0
2016-10-27,20.969999313354492,20.969999313354492,20.969999313354492,20.969999313354492,0
2016-10-28,20.969999313354492,20.969999313354492,20.969999313354492,20.969999313354492,0
2016-10-31,20.969999313354492,20.969999313354492,20.969999313354492,20.969999313354492,0
2016-11-01,21.790000915527344,21.790000915527344,21.790000915527344,21.790000915527344,100
2016-11-02,21.56999969482422,21.579999923706055,21.56999969482422,21.56999969482422,5000
2016-11-03,21.56999969482422,21.56999969482422,21.56999969482422,21.56999969482422,0
2016-11-04,21.59000015258789,21.59000015258789,21.559999465942383,21.59000015258789,6050
2016-11-07,21.40999984741211,21.40999984741211,21.40999984741211,21.40999984741211,3000
2016-11-08,21.40999984741211,21.40999984741211,21.40999984741211,21.40999984741211,0
2016-11-09,22.0,22.0,21.5,22.0,15000
2016-11-10,22.100000381469727,22.100000381469727,21.510000228881836,22.100000381469727,9110
2016-11-11,22.6299991607666,22.6299991607666,22.6299991607666,22.6299991607666,10
2016-11-14,20.709999084472656,21.520000457763672,20.709999084472656,20.709999084472656,9160
2016-11-15,21.5,21.579999923706055,21.5,21.5,28000
2016-11-16,21.5,21.5,21.5,21.5,0
2016-11-17,21.5,21.5,21.5,21.5,0
2016-11-18,21.559999465942383,21.559999465942383,21.559999465942383,21.559999465942383,2000
